Hit Name,Aurora1,Aurora2,AURURA5,Charentais2,Charentais3,Charentais5,Crane1,Crane2,Crane3,Crane5,Diplo1,Diplo2,Diplo3,Diplo4,Edisto1,Edisto3,Halona1,Halona2,Halona3,Halona4,Halona5,HBush1,HBush2,HBush4,HBush5,HOrange1,HOrange3,HOrange4,HOrange5,IchibaKouji,IchibaKouji2,IchibaKouji3,Kajari1,Kajari2,Kajari3,Koljo1,Koljo3,Koljo5,Korean1,Korean2,Korean3,Korean4,Midget1,Midget2,Midget3,Midget5,Milan1,Milan2,Milan3,Milan4,Milan5,OHoneydew21,OHoneydew29,OHoneydew2,PMR1,PMR2,PMR3,PMR5,WMR3,WMR4
S-Methyl 3-methylbutanethioate,0,0,0,0,0,0,0,0,0,0,3.7,3.3,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzaldehyde,61.3,203.8,48.1,33,25.4,12.5,3.7,5.1,5.8,4.4,5.4,9,13,7.3,2.1,2.2,4.8,6.9,11,9.9,5.9,9.8,0,3.8,7.6,52,15.2,9.7,29.1,1.8,0,0,5.3,6.1,9.1,6.5,2.5,4.3,11.3,25,16.9,32.7,6.3,5,2,29.6,17.2,20.6,35.6,68.3,23.1,51.6,30.8,10.1,12.8,14.5,6.2,7.4,1.9,3
Dimethyl trisulfide,0,0,0,6.5,3.1,5.2,4.4,6.1,6.8,0,3.8,2.6,2.1,4.1,0,0,5,2.7,6.7,4.2,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,2,0,0
1-Heptanol,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4.3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,1.6,1.8,0,0,1.6,0
1-Octen-3-ol,23.4,8.3,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,2.8,5,4.2,7.6,2.5,0,0,0,1.4,0,0,0,0,0,0,0,0,28.6,27.7,22,22,3.7,0,3.2,2.5,0,0,0,0,0,0,0,0,0,0,1.4,1.6,0,0
Ethyl (methylthio)acetate,0,0,3.1,0,0,2.1,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Hepten-2-one, 6-methyl-",3.6,5.4,2.4,0,1.9,0,4,3.1,3.8,0,0,0,0,0,1.6,2.4,2.3,0,2.3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.9,0,0,0,3.1,3.4,2,3.4,4.9,0,0,1.4,1.6,0,1.7
"Furan, 2-pentyl-",0,3.3,2.7,0,0,0,2.3,2.6,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,3.1,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesitylene,0,0,0,0,0,0,0,0,2.5,0,0,0,0,1.7,1.5,1.8,0,0,1.6,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0
"Hexanoic acid, ethyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"Acetic acid, hexyl ester",0,0,0,0,0,4.3,0,2.4,0,0,0,4.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexanol, 2-ethyl-",9.3,0,7.2,5.5,5.1,3.8,0,0,0,0,7.4,3,4.2,6.3,6.2,4.6,3.9,6,5.8,4.9,0,0,0,0,0,4.8,0,0,0,6.3,0,0,0,0,0,0,0,5,7,7.1,7.2,5.7,0,0,0,6.2,4.8,5.4,7.4,0,5.5,5.3,4.3,0,4.2,3.8,2.7,2.7,2.6,7.2
"2-Octene, 2,6-dimethyl-",0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucalyptol,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,12.8,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzyl alcohol,68.7,57.6,38.2,52.9,28.5,0,30.5,28.7,21.4,17.3,0,18.7,25.4,16.2,0,0,15.3,0,25.3,34.1,0,41.7,0,8.1,22.2,44.7,17.1,9.8,18.7,0,3.5,4.8,5.3,13.4,13.5,5.5,3.2,3.8,4.3,6.4,5.1,4.5,21.6,0,0,12.5,42.3,38.7,72,259.9,52.3,32.8,46.1,7.1,71.3,37.8,7.9,11.7,5.5,3.2
Benzeneacetaldehyde,0,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Octenal, (E)-",0,5.2,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetophenone,5.9,3.5,1.9,4.3,4.7,0,2,1.9,2.9,0,2.9,1.5,2.1,2.3,3.3,3.6,2.1,3.1,3.9,3.3,3.5,0,0,0,0,2.7,0,0,3.1,1.5,0,0,0,7.6,0,0,3.8,1.8,2.1,2.6,2.4,0,2.5,0,1.6,1.8,2.1,0,0,0,0,1.8,0,0,1.9,1.8,1.8,0,1.4,3.4
1-Octanol,10.2,0,0,18,4.1,10.2,37.6,83.1,71.6,9.7,0,50.1,9.1,0,0,0,2,3.1,5.6,5.6,3.7,83.4,0,8.1,8.8,4,3.5,4.5,6.2,3.4,7.3,10.9,15.1,39.6,32.1,8.6,9.6,6.5,4,0,2.9,0,7.5,3.3,0,0,7.5,14.2,8.3,9.3,16.5,3.4,1.8,0,12.2,8,2.1,1.9,2.6,2.6
"2,4-Hexadienoic acid, ethyl ester",0,0,0,16.3,8.1,4.8,0,0,0,0,0,0,0,0,0,0,0,2.7,3.2,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0
"Benzoic acid, methyl ester",6.5,14.3,1.8,0,0,0,0,0,0,0,0,0,0,0,1.6,4.1,2.7,0,0,0,2.6,0,0,0,0,22.4,7.5,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,3.6,3.1,2.8,5.4,4.2,3,3.6,1.9,0,0,2.2,2.1,0,1.8,0
"(Z,Z)-3,6-Nonadienal",0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,5.3,0,0,0,0,2.3,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
